timestamp,poseX,poseY,poseZ,oriX,oriY,oriZ,oriW
0,-2.075118,-0.823287,2.70981,-0.562555,-0.3385471,0.4525797,-0.6033982
142857,-2.075675,-0.8235117,2.710732,-0.5620058,-0.3385617,0.4593834,-0.5987423
285714,-2.069245,-0.8206038,2.712547,-0.5451804,-0.3440911,0.4623563,-0.6087745
428571,-2.068866,-0.8204455,2.713601,-0.5424653,-0.3447891,0.4685482,-0.6060647
571428,-2.062155,-0.8178839,2.71557,-0.5336595,-0.3443768,0.4642635,-0.61731
714285,-2.059935,-0.8172055,2.716889,-0.5300871,-0.3439402,0.466947,-0.618606
857142,-2.058493,-0.8167011,2.718113,-0.5265134,-0.3442729,0.4712963,-0.6181744
999999,-2.052349,-0.8156717,2.719606,-0.5347734,-0.33328,0.4640398,-0.6225825
1142856,-2.049887,-0.8150216,2.720774,-0.5340348,-0.3306886,0.4658321,-0.6232595
1285713,-2.047718,-0.8144336,2.722032,-0.5324222,-0.3291868,0.4683872,-0.6235191
1428570,-2.042038,-0.8128516,2.722062,-0.5332227,-0.3179747,0.4653766,-0.6308647
1571427,-2.039237,-0.8119936,2.723073,-0.531813,-0.3145539,0.4673303,-0.6323236
1714284,-2.036557,-0.8112329,2.724154,-0.5304771,-0.3115616,0.4691863,-0.6335517
1857141,-2.031318,-0.8072816,2.721717,-0.5381253,-0.2973558,0.4722793,-0.6316272
1999998,-2.028306,-0.8060724,2.722296,-0.5381012,-0.2928164,0.4742536,-0.6322889
2142855,-2.02527,-0.8048534,2.722879,-0.5380633,-0.2882334,0.4762315,-0.6329399
2285712,-2.019312,-0.8011464,2.718168,-0.544699,-0.2925566,0.4704973,-0.6295602
2428569,-2.015791,-0.79961,2.717783,-0.5463378,-0.2896837,0.4716963,-0.6285705
2571426,-2.012362,-0.7980428,2.717629,-0.5473076,-0.2863861,0.4727574,-0.6284408
2714283,-2.00482,-0.8002018,2.714146,-0.5551455,-0.2941848,0.4720906,-0.6183844
2857140,-2.000865,-0.7991213,2.713602,-0.5568905,-0.2923604,0.472882,-0.6170745
