timestamp,poseX,poseY,poseZ,oriX,oriY,oriZ,oriW
0,-1.757956,0.01938887,2.65781,0.09311531,0.2543247,-0.04795057,0.9614308
142857,-1.758101,0.01936622,2.657917,0.09263859,0.2540485,-0.04776159,0.9615594
285714,-1.758096,0.01931015,2.658094,0.09291237,0.2537722,-0.04772754,0.9616075
428571,-1.758103,0.01929064,2.658184,0.09284191,0.2538386,-0.04783737,0.9615914
571428,-1.758275,0.01928157,2.658269,0.09277567,0.2535534,-0.04778651,0.9616756
714285,-1.758288,0.01926106,2.65836,0.09285111,0.2534152,-0.04778275,0.9617049
857142,-1.758463,0.01931153,2.658606,0.09154106,0.2526765,-0.04819123,0.9620044
999999,-1.758482,0.01932377,2.658723,0.09166222,0.2525066,-0.04837848,0.9620281
1142856,-1.758502,0.01932618,2.658839,0.09154735,0.2522754,-0.04847572,0.9620948
1285713,-1.75867,0.01924634,2.658798,0.09213306,0.2523728,-0.05053002,0.9619076
1428570,-1.758701,0.01924634,2.658888,0.09215629,0.2523081,-0.05096398,0.9618995
1571427,-1.758733,0.019247,2.658984,0.09216761,0.2521438,-0.05135547,0.9619206
1714284,-1.758764,0.01924765,2.659081,0.0921789,0.2519795,-0.05174695,0.9619416
1857141,-1.758855,0.01897432,2.658878,0.09273754,0.2518453,-0.05047559,0.9619906
1999998,-1.758889,0.01894435,2.658944,0.09282502,0.2516944,-0.0506309,0.9620135
2142855,-1.758918,0.01881124,2.658939,0.09294918,0.2524908,-0.04980448,0.9618359
2285712,-1.758928,0.01877646,2.658975,0.09319866,0.2523243,-0.04976815,0.9618574
2428569,-1.758949,0.01873447,2.659033,0.09331339,0.2522892,-0.04977119,0.9618554
2571426,-1.759018,0.01849797,2.659014,0.09449343,0.252649,-0.04824208,0.9617235
2714283,-1.759029,0.01842612,2.659071,0.09476624,0.2526648,-0.0480381,0.9617028
2857140,-1.75904,0.01835376,2.659128,0.09504106,0.2526806,-0.04783262,0.9616818
2999997,-1.759094,0.01824839,2.659227,0.09565291,0.2517072,-0.04798036,0.961869
3142854,-1.759101,0.0181722,2.659294,0.09597845,0.2515766,-0.04784082,0.9618776
