timestamp,poseX,poseY,poseZ,oriX,oriY,oriZ,oriW
0,-1.890377,0.04410928,2.089487,0.196853,0.09863217,-0.04312909,0.9745053
142857,-1.892511,0.04583773,2.08709,0.1903438,0.09460673,-0.04133534,0.9762737
285714,-1.893773,0.04689124,2.086881,0.1946372,0.09384737,-0.03779645,0.9756436
428571,-1.895517,0.04788819,2.085433,0.1911726,0.0908969,-0.03586762,0.9766803
571428,-1.897418,0.04931587,2.083582,0.1866243,0.08746921,-0.03379424,0.9779461
714285,-1.899307,0.05073568,2.081742,0.182093,0.08405638,-0.03173059,0.9791679
857142,-1.900218,0.05073991,2.082255,0.1848601,0.08352856,-0.03145358,0.9787034
999999,-1.901893,0.05189258,2.08088,0.1813842,0.08053821,-0.02961984,0.9796613
1142856,-1.903575,0.05305013,2.079499,0.1778885,0.07753276,-0.02777734,0.9805982
1285713,-1.904477,0.05509952,2.081216,0.1740775,0.07528356,-0.02199492,0.9816036
1428570,-1.90601,0.05639502,2.080419,0.170488,0.0723644,-0.01962515,0.982503
1571427,-1.907555,0.05770025,2.079617,0.1668669,0.06942129,-0.01723704,0.9833815
1714284,-1.909934,0.05898356,2.079619,0.1620144,0.06044613,-0.01572162,0.9848099
1857141,-1.91161,0.06028384,2.079013,0.1582591,0.05668614,-0.01352273,0.9856764
1999998,-1.912302,0.06186342,2.078716,0.1522821,0.05249023,-0.01534881,0.986823
2142855,-1.913725,0.06311786,2.078164,0.1480886,0.04881239,-0.01415197,0.9876674
2285712,-1.915194,0.06446105,2.077657,0.1439478,0.04502025,-0.01265184,0.9884799
2428569,-1.916674,0.06581369,2.077147,0.1397726,0.04119977,-0.01114067,0.9892634
2571426,-1.915957,0.06272772,2.076663,0.1436854,0.04076096,-0.01667693,0.988643
2714283,-1.917044,0.06330836,2.076144,0.1406763,0.03742668,-0.01612304,0.9892166
2857140,-1.915014,0.06085879,2.07634,0.1530412,0.0459452,-0.02390877,0.9868616
2999997,-1.915436,0.06082568,2.075999,0.1524204,0.04448662,-0.02463136,0.9870068
3142854,-1.915015,0.06095916,2.076097,0.1557303,0.04846387,-0.02571531,0.9862749
3285711,-1.91465,0.06118479,2.076126,0.1570892,0.05069586,-0.0229992,0.9860142
3428568,-1.914887,0.06109494,2.075989,0.1572431,0.05099543,-0.02289054,0.9859768
3571425,-1.914988,0.0610978,2.075859,0.1574678,0.05093681,-0.02305775,0.98594
3714282,-1.915267,0.0611957,2.07537,0.1592287,0.05255404,-0.02162558,0.9856047
3857139,-1.915414,0.06122452,2.075195,0.1596992,0.0527511,-0.02153184,0.9855202
3999996,-1.91556,0.06125313,2.075022,0.1601665,0.05294677,-0.02143874,0.9854358
4142853,-1.915196,0.06201664,2.075402,0.1565225,0.05462121,-0.02025288,0.9859549
4285710,-1.91528,0.06216547,2.075307,0.1563805,0.05504241,-0.0200011,0.9859592
4428567,-1.91578,0.06310365,2.075093,0.154219,0.05458957,-0.01985837,0.9863276
4571424,-1.916034,0.06329241,2.074972,0.1539352,0.05458373,-0.01934656,0.9863825
4714281,-1.9162,0.0635286,2.074847,0.1535126,0.05479914,-0.01904915,0.9864421
4857138,-1.916345,0.06373927,2.075171,0.1548686,0.05299956,-0.01761517,0.9863552
4999995,-1.916487,0.06396905,2.075149,0.1546135,0.05273025,-0.01706492,0.9864193
5142852,-1.916629,0.06420022,2.075106,0.1544477,0.05259405,-0.01657268,0.986461
5285709,-1.916769,0.06442958,2.075063,0.1542831,0.05245892,-0.01608425,0.9865021
5428566,-1.91689,0.0641897,2.075768,0.1556525,0.04929232,-0.01695769,0.9864355
5571423,-1.917019,0.06435663,2.075826,0.1557142,0.04873963,-0.01665292,0.9864585
5714280,-1.917418,0.06333989,2.076443,0.1581209,0.0431899,-0.01712896,0.986326
5857137,-1.917567,0.06333983,2.076584,0.1585678,0.04186723,-0.01693014,0.9863148
5999994,-1.917734,0.06220859,2.076797,0.161747,0.04016293,-0.01985043,0.9858149
6142851,-1.917301,0.06168675,2.077327,0.1627198,0.03860679,-0.02052421,0.9857031
6285708,-1.917306,0.06152833,2.077518,0.1633691,0.03734015,-0.02099504,0.9856346
6428565,-1.917286,0.0612855,2.077767,0.1642472,0.03594767,-0.02141185,0.9855314
6571422,-1.917936,0.06060779,2.077221,0.165188,0.03311014,-0.01832052,0.9855359
6714279,-1.918015,0.06025952,2.077365,0.1661,0.03149022,-0.01822435,0.9854376
6857136,-1.91794,0.05986136,2.077368,0.1684665,0.02972092,-0.01758153,0.9851024
6999993,-1.918006,0.05943426,2.077529,0.1695445,0.02810298,-0.01751463,0.9849661
7142850,-1.918039,0.05905703,2.077678,0.1706823,0.02646822,-0.01732821,0.9848182
7285707,-1.918253,0.05937502,2.077561,0.1705058,0.02555124,-0.01732154,0.9848731
7428564,-1.918406,0.05909517,2.07766,0.171559,0.02418934,-0.01709987,0.9847285
7571421,-1.91847,0.05884159,2.077769,0.172516,0.02269748,-0.0169458,0.9845994
7714278,-1.918544,0.05872023,2.077456,0.1733249,0.02286659,-0.01806331,0.9844335
7857135,-1.918589,0.05851549,2.077506,0.1742429,0.02186662,-0.01850846,0.9842859
7999992,-1.918625,0.05827618,2.077583,0.1751688,0.0206881,-0.01862323,0.9841449
8142849,-1.918582,0.05915859,2.077307,0.1728529,0.02180889,-0.0196477,0.9845102
8285706,-1.918576,0.05908546,2.077358,0.1732412,0.02099522,-0.01990565,0.9844544
8428563,-1.91857,0.05901232,2.077409,0.1736294,0.02018152,-0.0201636,0.9843978
8571420,-1.918516,0.06017676,2.077453,0.1705838,0.02124922,-0.01994808,0.9849122
8714277,-1.918475,0.06029928,2.077532,0.170516,0.02078271,-0.01993064,0.9849342
8857134,-1.918436,0.06039453,2.077609,0.1703965,0.02026485,-0.02007156,0.9849628
8999991,-1.918451,0.06048894,2.077886,0.1715164,0.02013928,-0.0198864,0.9847747
9142848,-1.918402,0.06057435,2.07802,0.171576,0.01967984,-0.01998986,0.9847715
9285705,-1.918301,0.06045213,2.078362,0.1720408,0.02002393,-0.020804,0.9846666
9428562,-1.918153,0.0601455,2.07898,0.1726748,0.02077347,-0.02208623,0.9845122
9571419,-1.918057,0.06013751,2.07924,0.1728819,0.02062523,-0.02248078,0.98447
9714276,-1.917127,0.05912092,2.080416,0.1740557,0.02239499,-0.02299209,0.9842126
9857133,-1.916693,0.0587213,2.080816,0.1744809,0.02320738,-0.02369338,0.984102
9999990,-1.916364,0.05847162,2.081291,0.1748641,0.02349336,-0.02415975,0.9840158
10142847,-1.915893,0.05807102,2.081713,0.1763188,0.02679861,-0.02411544,0.9836727
10285704,-1.915357,0.0577684,2.082039,0.1768784,0.02751154,-0.02430395,0.9835479
10428561,-1.91493,0.0574623,2.082521,0.1774374,0.02829085,-0.02463169,0.983417
10571418,-1.914749,0.05723053,2.082446,0.1782292,0.03046945,-0.02438401,0.9832149
10714275,-1.914419,0.05692804,2.082799,0.1789725,0.03153012,-0.02471162,0.9830382
10857132,-1.914012,0.05660608,2.083198,0.1796034,0.03255254,-0.02497471,0.9828832
10999989,-1.913669,0.05664197,2.082831,0.1800426,0.03592225,-0.02617614,0.9826542
11142846,-1.913249,0.05638382,2.083098,0.1806376,0.03732283,-0.02657599,0.982482
11285703,-1.91283,0.05612573,2.083366,0.1812321,0.03872333,-0.02697578,0.9823074
11428560,-1.912902,0.05637571,2.083068,0.1804422,0.04024598,-0.02702782,0.9823902
11571417,-1.912583,0.0562523,2.083281,0.1808794,0.04165038,-0.02739412,0.982241
11714274,-1.912226,0.05609918,2.083476,0.1812665,0.04307464,-0.02774112,0.9820985
11857131,-1.912795,0.05655268,2.083551,0.1808202,0.04279128,-0.02621378,0.9822351
11999988,-1.912608,0.05653307,2.083762,0.1810603,0.04392437,-0.02626552,0.9821395
12142845,-1.912421,0.05651367,2.083972,0.1813001,0.04505739,-0.02631723,0.9820426
12285702,-1.912232,0.05649415,2.084184,0.1815415,0.04619896,-0.0263693,0.9819435
12428559,-1.912045,0.05647475,2.084395,0.1817808,0.04733187,-0.02642094,0.9818439
12571416,-1.911858,0.05645537,2.084605,0.1820198,0.0484647,-0.02647254,0.981743
12714273,-1.91167,0.056436,2.084816,0.1822587,0.04959749,-0.0265241,0.9816407
12857130,-1.911483,0.05641663,2.085026,0.1824972,0.05073021,-0.02657564,0.981537
12999987,-1.911296,0.05639723,2.085237,0.1827356,0.05186283,-0.02662713,0.9814321
13142844,-1.911109,0.05637786,2.085447,0.1829737,0.05299541,-0.02667859,0.9813259
13285701,-1.911259,0.05634692,2.085275,0.1808228,0.0487696,-0.02675782,0.9819413
13428558,-1.911086,0.05632025,2.085464,0.1808978,0.04951213,-0.02680032,0.9818892
13571415,-1.911479,0.05400768,2.086028,0.1904046,0.04865555,-0.02903506,0.9800693
13714272,-1.911162,0.05366594,2.086435,0.1913842,0.04936342,-0.02935628,0.9798335
13857129,-1.910689,0.05206928,2.087008,0.1949832,0.05109872,-0.02888645,0.9790486
13999986,-1.910311,0.05145022,2.087474,0.1963905,0.05197545,-0.02907793,0.9787154
14142843,-1.90994,0.05084306,2.087931,0.1977699,0.05283497,-0.0292656,0.978386
14285700,-1.909677,0.05008265,2.088789,0.2025299,0.05023412,-0.02876929,0.9775636
14428557,-1.909299,0.04944336,2.089342,0.2043403,0.05063184,-0.02887845,0.977163
14571414,-1.908919,0.04880038,2.089897,0.2061604,0.05103169,-0.02898814,0.9767566
14714271,-1.908323,0.04885772,2.090778,0.2063327,0.05191052,-0.03222451,0.9765725
14857128,-1.907877,0.04830804,2.091397,0.2079525,0.05236268,-0.0326892,0.9761892
