timestamp,poseX,poseY,poseZ,oriX,oriY,oriZ,oriW
0,-1.999865,-0.8090444,2.668912,-0.5953119,-0.1566077,0.3040273,-0.7270799
142857,-2.000147,-0.8090306,2.668935,-0.59558,-0.1561634,0.303863,-0.7270246
285714,-2.000147,-0.8090306,2.668935,-0.59558,-0.1561634,0.303863,-0.7270246
428571,-2.000162,-0.8090311,2.66894,-0.5955922,-0.1561429,0.3038507,-0.7270241
571428,-2.000403,-0.8090519,2.669024,-0.5956932,-0.155878,0.3037325,-0.7270477
714285,-2.000403,-0.8090519,2.669024,-0.5956932,-0.155878,0.3037325,-0.7270477
857142,-2.00059,-0.809089,2.669087,-0.5957068,-0.1558248,0.3037856,-0.7270257
999999,-2.00059,-0.809089,2.669087,-0.5957068,-0.1558248,0.3037856,-0.7270257
1142856,-2.00059,-0.809089,2.669087,-0.5957068,-0.1558248,0.3037856,-0.7270257
1285713,-2.000777,-0.8091442,2.669142,-0.5958498,-0.1554555,0.3037203,-0.7270148
1428570,-2.000777,-0.8091442,2.669142,-0.5958498,-0.1554555,0.3037203,-0.7270148
1571427,-2.000777,-0.8091442,2.669142,-0.5958498,-0.1554555,0.3037203,-0.7270148
1714284,-2.000777,-0.8091442,2.669142,-0.5958498,-0.1554555,0.3037203,-0.7270148
1857141,-2.000884,-0.8092551,2.669224,-0.595979,-0.1551232,0.3032304,-0.7271845
1999998,-2.000884,-0.8092551,2.669224,-0.595979,-0.1551232,0.3032304,-0.7271845
2142855,-2.000903,-0.8093855,2.669265,-0.5960761,-0.1550276,0.302893,-0.7272659
2285712,-2.000897,-0.8093994,2.669271,-0.5961002,-0.155026,0.3028655,-0.7272579
2428569,-2.000897,-0.8093994,2.669271,-0.5961002,-0.155026,0.3028655,-0.7272579
2571426,-2.000878,-0.809778,2.669178,-0.5961944,-0.1549884,0.3027702,-0.7272283
2714283,-2.000878,-0.809778,2.669178,-0.5961944,-0.1549884,0.3027702,-0.7272283
2857140,-2.000878,-0.809778,2.669178,-0.5961944,-0.1549884,0.3027702,-0.7272283
2999997,-2.000867,-0.8102879,2.66901,-0.5963243,-0.1547441,0.3026013,-0.7272441
3142854,-2.000867,-0.8102879,2.66901,-0.5963243,-0.1547441,0.3026013,-0.7272441
3285711,-2.000867,-0.8102879,2.66901,-0.5963243,-0.1547441,0.3026013,-0.7272441
3428568,-2.000627,-0.8103362,2.668833,-0.5962502,-0.1553308,0.3027712,-0.7271091
3571425,-2.000627,-0.8103362,2.668833,-0.5962502,-0.1553308,0.3027712,-0.7271091
3714282,-2.000627,-0.8103362,2.668833,-0.5962502,-0.1553308,0.3027712,-0.7271091
3857139,-2.000627,-0.8103362,2.668833,-0.5962502,-0.1553308,0.3027712,-0.7271091
3999996,-2.000474,-0.8103952,2.668686,-0.5962397,-0.1559575,0.3028547,-0.7269489
4142853,-2.000474,-0.8103952,2.668686,-0.5962397,-0.1559575,0.3028547,-0.7269489
4285710,-2.00043,-0.8106157,2.668595,-0.5962037,-0.1558517,0.3031183,-0.7268911
4428567,-2.00043,-0.8106157,2.668595,-0.5962037,-0.1558517,0.3031183,-0.7268911
4571424,-2.000411,-0.8107368,2.668571,-0.5962396,-0.1556318,0.3033997,-0.7267914
4714281,-2.000399,-0.8107669,2.668564,-0.5962362,-0.1556063,0.3034893,-0.7267622
4857138,-2.000399,-0.8107669,2.668564,-0.5962362,-0.1556063,0.3034893,-0.7267622
4999995,-2.000276,-0.8107443,2.668446,-0.596074,-0.1559436,0.3037858,-0.7266991
5142852,-2.00026,-0.8107366,2.668422,-0.5960503,-0.1559985,0.3038218,-0.7266918
5285709,-2.00026,-0.8107366,2.668422,-0.5960503,-0.1559985,0.3038218,-0.7266918
5428566,-2.000299,-0.8108373,2.668066,-0.5959597,-0.1567626,0.304183,-0.7264504
5571423,-2.000299,-0.8108373,2.668066,-0.5959597,-0.1567626,0.304183,-0.7264504
5714280,-2.000676,-0.8112532,2.667773,-0.5959641,-0.1569614,0.3045622,-0.726245
5857137,-2.00069,-0.8112503,2.667769,-0.5959716,-0.1569538,0.3045891,-0.7262293
5999994,-2.00069,-0.8112503,2.667769,-0.5959716,-0.1569538,0.3045891,-0.7262293
6142851,-2.001093,-0.8112052,2.667832,-0.5960544,-0.1561524,0.3049718,-0.7261735
6285708,-2.001121,-0.811203,2.667839,-0.596089,-0.1560933,0.304954,-0.7261652
6428565,-2.001121,-0.811203,2.667839,-0.596089,-0.1560933,0.304954,-0.7261652
6571422,-2.001566,-0.8111086,2.667995,-0.5963714,-0.1551491,0.3049576,-0.7261342
6714279,-2.001566,-0.8111086,2.667995,-0.5963714,-0.1551491,0.3049576,-0.7261342
6857136,-2.001883,-0.8109876,2.668187,-0.5963615,-0.1545008,0.3051464,-0.7262012
6999993,-2.001949,-0.8109742,2.668224,-0.5963383,-0.1543643,0.3051901,-0.7262309
7142850,-2.001949,-0.8109742,2.668224,-0.5963383,-0.1543643,0.3051901,-0.7262309
7285707,-2.001949,-0.8109742,2.668224,-0.5963383,-0.1543643,0.3051901,-0.7262309
7428564,-2.002621,-0.8122314,2.668281,-0.5961319,-0.1540506,0.3054307,-0.7263658
7571421,-2.002621,-0.8122314,2.668281,-0.5961319,-0.1540506,0.3054307,-0.7263658
7714278,-2.003502,-0.8141458,2.668109,-0.5963619,-0.1536423,0.3056178,-0.7261848
7857135,-2.003531,-0.8141397,2.668093,-0.5964054,-0.1536442,0.3056555,-0.7261328
7999992,-2.003531,-0.8141397,2.668093,-0.5964054,-0.1536442,0.3056555,-0.7261328
8142849,-2.003698,-0.8140177,2.667967,-0.5966375,-0.1540789,0.3060378,-0.7256888
8285706,-2.003698,-0.8140177,2.667967,-0.5966375,-0.1540789,0.3060378,-0.7256888
8428563,-2.003698,-0.8140177,2.667967,-0.5966375,-0.1540789,0.3060378,-0.7256888
8571420,-2.003739,-0.8139099,2.668038,-0.596772,-0.1541808,0.3059541,-0.725592
8714277,-2.003738,-0.8139058,2.668046,-0.5967701,-0.1541801,0.3059534,-0.7255939
8857134,-2.003813,-0.8138838,2.668258,-0.5968067,-0.1539826,0.3061935,-0.7255045
8999991,-2.003851,-0.8138941,2.668346,-0.5968311,-0.1538812,0.3063429,-0.7254428
9142848,-2.003851,-0.8138941,2.668346,-0.5968311,-0.1538812,0.3063429,-0.7254428
9285705,-2.003924,-0.8139049,2.668678,-0.5968885,-0.1533628,0.3065748,-0.7254074
9428562,-2.003919,-0.8138984,2.668761,-0.5968927,-0.1532715,0.3065928,-0.7254156
9571419,-2.003919,-0.8138984,2.668761,-0.5968927,-0.1532715,0.3065928,-0.7254156
9714276,-2.003781,-0.8138059,2.669156,-0.5967786,-0.1531792,0.306735,-0.7254689
9857133,-2.003721,-0.8137686,2.669249,-0.596716,-0.153244,0.3067922,-0.7254825
9999990,-2.003721,-0.8137686,2.669249,-0.596716,-0.153244,0.3067922,-0.7254825
10142847,-2.003298,-0.8135574,2.669811,-0.5962127,-0.1539983,0.3071482,-0.7255859
10285704,-2.00324,-0.8135313,2.669899,-0.5961218,-0.1540407,0.3072104,-0.7256253
10428561,-2.002927,-0.8134074,2.670408,-0.5958611,-0.1540693,0.3072882,-0.7258004
10571418,-2.002908,-0.8133993,2.670438,-0.595858,-0.1540604,0.3072858,-0.7258059
10714275,-2.002908,-0.8133993,2.670438,-0.595858,-0.1540604,0.3072858,-0.7258059
10857132,-2.002348,-0.8132157,2.671136,-0.5954676,-0.1540855,0.3077144,-0.7259394
10999989,-2.002348,-0.8132157,2.671136,-0.5954676,-0.1540855,0.3077144,-0.7259394
11142846,-2.002348,-0.8132157,2.671136,-0.5954676,-0.1540855,0.3077144,-0.7259394
11285703,-2.001785,-0.8130782,2.671576,-0.5951317,-0.1545192,0.3080489,-0.7259807
11428560,-2.001785,-0.8130782,2.671576,-0.5951317,-0.1545192,0.3080489,-0.7259807
