timestamp,poseX,poseY,poseZ,oriX,oriY,oriZ,oriW
0,-1.687282,-0.8294746,2.429756,-0.653361,-0.4671143,0.2101585,-0.5574558
142857,-1.687762,-0.8300273,2.427116,-0.6557018,-0.4682657,0.2155551,-0.5516506
285714,-1.685795,-0.8313031,2.422267,-0.6656107,-0.4649258,0.2171809,-0.5418846
428571,-1.685843,-0.8320559,2.419358,-0.6688005,-0.4654679,0.2220303,-0.5354888
571428,-1.68236,-0.8341571,2.416066,-0.674955,-0.4655679,0.2201907,-0.5283924
714285,-1.681143,-0.8352924,2.413281,-0.6787019,-0.4654912,0.2223359,-0.5227316
857142,-1.680532,-0.8362352,2.410388,-0.6822401,-0.4657748,0.2259194,-0.5162972
999999,-1.674439,-0.8368202,2.410764,-0.6803551,-0.4644204,0.2154264,-0.5244255
1142856,-1.672428,-0.8374876,2.408945,-0.6820778,-0.4645072,0.2156314,-0.5220212
1285713,-1.670889,-0.8383527,2.40664,-0.6846637,-0.4645789,0.2170054,-0.5179873
1428570,-1.663397,-0.8365325,2.411343,-0.6803811,-0.4593381,0.1980599,-0.5355954
1571427,-1.660745,-0.8369837,2.410412,-0.6819794,-0.4577168,0.1956846,-0.5358236
1714284,-1.658241,-0.8375918,2.409145,-0.6836304,-0.4568188,0.1939964,-0.5350996
1857141,-1.651645,-0.8363075,2.415727,-0.6845337,-0.4414943,0.1798347,-0.5515034
1999998,-1.648536,-0.8367423,2.415547,-0.685995,-0.4385791,0.1764078,-0.5531181
2142855,-1.645403,-0.8371806,2.415366,-0.6874506,-0.4356295,0.1729492,-0.5547317
2285712,-1.637817,-0.8353534,2.423388,-0.6832179,-0.4253628,0.1633502,-0.5706107
2428569,-1.633877,-0.8352951,2.424757,-0.6835378,-0.42089,0.158496,-0.5748972
2571426,-1.630106,-0.8353876,2.425768,-0.6840337,-0.4167739,0.1540753,-0.5784966
2714283,-1.620696,-0.8318092,2.435636,-0.674519,-0.4041094,0.1368718,-0.6024831
2857140,-1.616172,-0.8314079,2.437835,-0.673409,-0.3987983,0.1307055,-0.608602
2999997,-1.607835,-0.8281389,2.445655,-0.6595318,-0.399202,0.1267045,-0.6241806
3142854,-1.602304,-0.8258927,2.450313,-0.6528248,-0.396254,0.1220594,-0.633959
3285711,-1.597096,-0.8250757,2.453484,-0.649013,-0.3919096,0.1163846,-0.6415946
3428568,-1.591496,-0.8214105,2.460409,-0.6387553,-0.3864485,0.1105164,-0.6560758
3571425,-1.586264,-0.8202363,2.464312,-0.6338089,-0.3805768,0.1045278,-0.6652231
3714282,-1.58096,-0.8191988,2.467973,-0.6287739,-0.3756526,0.09872334,-0.6736336
3857139,-1.575631,-0.8181565,2.471652,-0.6236178,-0.3706469,0.09287629,-0.6819794
3999996,-1.572434,-0.8165653,2.475059,-0.6238603,-0.3575883,0.08477666,-0.6897405
4142853,-1.567408,-0.8154594,2.47867,-0.6192463,-0.3514799,0.07864334,-0.6977185
4285710,-1.562346,-0.8143457,2.482307,-0.614499,-0.3452705,0.07245293,-0.7056414
4428567,-1.559421,-0.8179613,2.480076,-0.6243158,-0.3382763,0.07206896,-0.700432
4571424,-1.554766,-0.8170916,2.483099,-0.621437,-0.3320146,0.0666737,-0.7064964
4714281,-1.55011,-0.816222,2.486121,-0.6184876,-0.3257152,0.06127087,-0.7124806
4857138,-1.546097,-0.8232548,2.481755,-0.6333734,-0.3262561,0.06368127,-0.6988132
4999995,-1.541701,-0.822813,2.484064,-0.6326607,-0.3208792,0.05925826,-0.7023287
5142852,-1.53851,-0.8240871,2.483654,-0.6365673,-0.3271123,0.05759532,-0.6960334
5285709,-1.534411,-0.8239661,2.485472,-0.6365804,-0.3236564,0.05406281,-0.6979177
5428566,-1.530205,-0.8237765,2.487376,-0.6364706,-0.319922,0.05010385,-0.700032
5571423,-1.529741,-0.823499,2.488519,-0.6394691,-0.3170322,0.05142277,-0.6985167
5714280,-1.526048,-0.8235407,2.490221,-0.6397413,-0.3133414,0.04824333,-0.7001578
5857137,-1.52587,-0.8229223,2.49202,-0.6432875,-0.3071296,0.04793037,-0.6996824
5999994,-1.523354,-0.823592,2.493434,-0.6444567,-0.3028086,0.04587923,-0.7006266
6142851,-1.520231,-0.8239061,2.495017,-0.6451914,-0.2986481,0.0432581,-0.7019017
6285708,-1.517114,-0.8242198,2.496597,-0.6459081,-0.2944861,0.0406398,-0.7031567
6428565,-1.518132,-0.8263808,2.496551,-0.6510072,-0.2894011,0.03699169,-0.7007626
6571422,-1.51556,-0.8269367,2.497905,-0.6522812,-0.2850814,0.03417686,-0.7014912
6714279,-1.513007,-0.8274884,2.499248,-0.653527,-0.2807859,0.03138219,-0.7021944
6857136,-1.513526,-0.8289421,2.499029,-0.6587929,-0.2782935,0.02528689,-0.6985022
6999993,-1.511375,-0.8296131,2.500164,-0.6605315,-0.2742265,0.02204368,-0.6985787
