timestamp,poseX,poseY,poseZ,oriX,oriY,oriZ,oriW
0,-1.648621,0.1394018,2.502283,-0.01259407,-0.2637891,0.01283843,-0.9644127
142857,-1.653977,0.1395135,2.506735,-0.01101861,-0.2619843,0.01362243,-0.9649131
285714,-1.659447,0.1400451,2.510592,-0.009138363,-0.2614516,0.01575884,-0.9650447
428571,-1.664846,0.1381459,2.517131,-0.01060455,-0.2589924,0.01250063,-0.9657403
571428,-1.670477,0.1369548,2.521951,-0.01053996,-0.2577327,0.01292399,-0.9660723
714285,-1.676283,0.1331261,2.526497,-0.01397319,-0.2552829,0.01149674,-0.9666971
857142,-1.68167,0.1297078,2.531598,-0.01805491,-0.2529756,0.01025234,-0.9672499
999999,-1.687131,0.1261107,2.536271,-0.02157233,-0.2507779,0.0101573,-0.967751
1142856,-1.692067,0.1232184,2.541269,-0.0265148,-0.2494437,0.01127578,-0.9679606
1285713,-1.696648,0.1217819,2.546712,-0.03117221,-0.2488841,0.01188519,-0.9679585
1428570,-1.701164,0.1199166,2.551654,-0.03360219,-0.2476185,0.0121476,-0.9681985
1571427,-1.705442,0.1185058,2.556499,-0.03568532,-0.2473374,0.009423969,-0.9682262
1714284,-1.710032,0.1171815,2.56096,-0.03751282,-0.2461931,0.008073569,-0.968461
1857141,-1.714598,0.1156464,2.56515,-0.03968591,-0.244707,0.007809637,-0.9687531
1999998,-1.718632,0.1162655,2.569131,-0.04376789,-0.2433014,0.006686803,-0.9689397
2142855,-1.722642,0.1171536,2.572995,-0.0463372,-0.2416623,0.007336706,-0.9692256
2285712,-1.726716,0.1168781,2.577275,-0.04881894,-0.2401509,0.007496164,-0.9694782
2428569,-1.730006,0.1192817,2.580827,-0.04943969,-0.2375165,0.008218882,-0.9700897
2571426,-1.73338,0.1207143,2.585093,-0.05126615,-0.2354071,0.008202675,-0.9705092
2714283,-1.736878,0.1215989,2.589185,-0.0531482,-0.2335072,0.008321993,-0.9708658
2857140,-1.739067,0.1238535,2.592376,-0.05395934,-0.2305833,0.007541407,-0.9715261
2999997,-1.741851,0.1250531,2.595679,-0.05608144,-0.2283553,0.006810428,-0.9719374
3142854,-1.744962,0.1261931,2.599606,-0.05799476,-0.2263747,0.006537643,-0.9722903
3285711,-1.746453,0.1273586,2.601727,-0.06236477,-0.2231309,0.007484341,-0.9727627
3428568,-1.748844,0.1277292,2.60481,-0.06373707,-0.2207372,0.008045425,-0.9732153
3571425,-1.751383,0.128727,2.60829,-0.06586143,-0.2185178,0.00809366,-0.9735742
3714282,-1.753005,0.1264059,2.610433,-0.06469151,-0.2168578,0.01301894,-0.9739704
3857139,-1.75519,0.1254311,2.61332,-0.06528621,-0.2143181,0.01508852,-0.9744629
3999996,-1.756825,0.1237642,2.616071,-0.06693498,-0.2111942,0.01704028,-0.9750007
4142853,-1.758406,0.1225842,2.619198,-0.06923094,-0.2086154,0.01789497,-0.9753802
4285710,-1.759829,0.1213473,2.622129,-0.07077232,-0.2059703,0.01825465,-0.975825
4428567,-1.761286,0.1190393,2.625427,-0.07222012,-0.2030635,0.01657015,-0.976358
4571424,-1.762732,0.1159256,2.628409,-0.07302298,-0.1990474,0.01581008,-0.9771375
4714281,-1.764503,0.1129792,2.631019,-0.07437373,-0.1955031,0.01537424,-0.977758
4857138,-1.766008,0.1105022,2.633956,-0.0853912,-0.1886973,0.01209104,-0.978241
4999995,-1.76755,0.1078444,2.636438,-0.09391663,-0.181423,0.008405156,-0.9788743
5142852,-1.768951,0.1055655,2.639092,-0.1010979,-0.175074,0.005882573,-0.9793333
5285709,-1.770226,0.1029073,2.641351,-0.1136475,-0.1639444,-2.930169E-05,-0.9799013
5428566,-1.771179,0.1008967,2.643153,-0.1262956,-0.1533199,-0.003125635,-0.9800677
5571423,-1.772427,0.09874246,2.645058,-0.1357698,-0.1450685,-0.005612041,-0.980046
5714280,-1.773521,0.09672472,2.647255,-0.1453354,-0.1373333,-0.007962161,-0.9797723
5857137,-1.772503,0.09389856,2.648803,-0.1716603,-0.1205729,-0.006303779,-0.9777296
5999994,-1.772848,0.09192637,2.650983,-0.1865023,-0.1111245,-0.006697811,-0.9761267
6142851,-1.770658,0.08847699,2.655313,-0.2078994,-0.1006263,-0.001438435,-0.9729595
6285708,-1.769698,0.08409545,2.657283,-0.2243702,-0.09180338,0.002336268,-0.9701674
6428565,-1.76856,0.0789499,2.659878,-0.243374,-0.08261748,0.004800284,-0.9663956
6571422,-1.767472,0.07322505,2.661026,-0.2595796,-0.07411443,0.008248786,-0.9628382
6714279,-1.766544,0.07111874,2.662374,-0.2761604,-0.06673118,0.01406921,-0.9586889
6857136,-1.764863,0.06982085,2.664616,-0.2872151,-0.0612639,0.02191018,-0.9556538
6999993,-1.763256,0.06655523,2.665407,-0.2947843,-0.05812547,0.02704519,-0.9534108
7142850,-1.761651,0.06298295,2.666061,-0.3068846,-0.05332317,0.03153927,-0.9497283
7285707,-1.760353,0.05978027,2.666835,-0.3183363,-0.05176411,0.0365444,-0.9458578
7428564,-1.75872,0.05829754,2.668033,-0.3271562,-0.04861151,0.03959693,-0.942888
7571421,-1.757263,0.05681595,2.669037,-0.3353504,-0.04451452,0.04103484,-0.9401461
7714278,-1.756399,0.05637076,2.669266,-0.3403998,-0.04274112,0.04039638,-0.9384398
7857135,-1.755017,0.05530426,2.670165,-0.3455256,-0.04125203,0.04106147,-0.9366025
7999992,-1.753565,0.05392757,2.671064,-0.3519122,-0.03904513,0.04211289,-0.9342697
8142849,-1.752616,0.05238512,2.671045,-0.3529303,-0.03853028,0.03794376,-0.9340856
