timestamp,poseX,poseY,poseZ,oriX,oriY,oriZ,oriW
0,-2.098151,-0.7035105,2.162535,-0.472875,-0.3129405,0.1249577,-0.8141518
142857,-2.097895,-0.7052678,2.162461,-0.4759056,-0.3133721,0.1301174,-0.811407
285714,-2.098219,-0.7075162,2.162563,-0.4664631,-0.3237378,0.1629479,-0.8068793
428571,-2.098032,-0.7091686,2.162378,-0.4655581,-0.3285998,0.178806,-0.8020638
571428,-2.097878,-0.7109728,2.162305,-0.4662457,-0.3308564,0.1890823,-0.7983714
714285,-2.097725,-0.7127675,2.162233,-0.4668719,-0.3330602,0.1992806,-0.7945998
857142,-2.096843,-0.7095783,2.166155,-0.4718368,-0.322179,0.1780079,-0.8011766
999999,-2.096617,-0.7106837,2.166642,-0.4731342,-0.3224861,0.1836113,-0.7990205
1142856,-2.096392,-0.711794,2.167131,-0.4744192,-0.3227823,0.1892322,-0.7968245
1285713,-2.094977,-0.7034359,2.170129,-0.4637215,-0.3162768,0.1417411,-0.8153778
1428570,-2.094977,-0.7034359,2.170129,-0.4637215,-0.3162768,0.1417411,-0.8153778
1571427,-2.094977,-0.7034359,2.170129,-0.4637215,-0.3162768,0.1417411,-0.8153778
1714284,-2.090204,-0.6999164,2.172279,-0.4455793,-0.3433662,0.1628354,-0.8105822
1857141,-2.089434,-0.6994187,2.172898,-0.4430447,-0.3467356,0.165294,-0.8100393
1999998,-2.088542,-0.6983998,2.171897,-0.4463751,-0.3487545,0.1629789,-0.8078104
2142855,-2.087823,-0.6978121,2.172297,-0.4456783,-0.3508985,0.1627502,-0.8073125
2285712,-2.087069,-0.6972407,2.172707,-0.444262,-0.3537453,0.1639261,-0.8066126
2428569,-2.08647,-0.6967874,2.173032,-0.4431343,-0.3560013,0.1648577,-0.8060503
2571426,-2.088326,-0.6980386,2.17173,-0.453074,-0.3423477,0.1504014,-0.8092599
2714283,-2.088326,-0.6980386,2.17173,-0.453074,-0.3423477,0.1504014,-0.8092599
2857140,-2.086591,-0.6984907,2.169302,-0.4441019,-0.3551859,0.1703616,-0.8047319
2999997,-2.086162,-0.6983908,2.169065,-0.4428163,-0.3573818,0.1727821,-0.8039517
3142854,-2.085998,-0.6993458,2.167645,-0.4434865,-0.3588211,0.1729096,-0.8029132
3285711,-2.08628,-0.7000302,2.167079,-0.4465425,-0.3540888,0.1663508,-0.804704
3428568,-2.086349,-0.7000474,2.167128,-0.4468676,-0.3534044,0.165734,-0.8049515
3571425,-2.086349,-0.7000474,2.167128,-0.4468676,-0.3534044,0.165734,-0.8049515
3714282,-2.085958,-0.701168,2.1648,-0.4502315,-0.3492555,0.1601015,-0.8060271
3857139,-2.085958,-0.701168,2.1648,-0.4502315,-0.3492555,0.1601015,-0.8060271
3999996,-2.085958,-0.701168,2.1648,-0.4502315,-0.3492555,0.1601015,-0.8060271
4142853,-2.08495,-0.7030611,2.157885,-0.4524265,-0.3506276,0.1582335,-0.80457
4285710,-2.08495,-0.7030611,2.157885,-0.4524265,-0.3506276,0.1582335,-0.80457
4428567,-2.084199,-0.7060812,2.146277,-0.4546108,-0.3610663,0.169018,-0.796488
4571424,-2.084109,-0.7067161,2.144062,-0.4549783,-0.3623782,0.171211,-0.7952129
4714281,-2.083949,-0.7073199,2.141836,-0.4554451,-0.3639403,0.1728349,-0.79388
4857138,-2.085271,-0.7068853,2.14401,-0.4604438,-0.3539023,0.1636115,-0.7974811
4999995,-2.08537,-0.7069761,2.143791,-0.4612031,-0.3528939,0.1628079,-0.7976537
5142852,-2.08537,-0.7069761,2.143791,-0.4612031,-0.3528939,0.1628079,-0.7976537
5285709,-2.08537,-0.7069761,2.143791,-0.4612031,-0.3528939,0.1628079,-0.7976537
5428566,-2.086698,-0.7070713,2.142775,-0.4698303,-0.3407942,0.1425067,-0.8017548
5571423,-2.086895,-0.7072718,2.141902,-0.4714614,-0.3391527,0.1398769,-0.8019565
5714280,-2.088322,-0.7062072,2.146883,-0.4672037,-0.3392664,0.1458371,-0.8033372
5857137,-2.088322,-0.7062072,2.146883,-0.4672037,-0.3392664,0.1458371,-0.8033372
5999994,-2.089032,-0.7057231,2.149083,-0.4660071,-0.3397827,0.1502616,-0.8029985
6142851,-2.089356,-0.7055659,2.149625,-0.4659434,-0.339568,0.1501009,-0.8031563
6285708,-2.089356,-0.7055659,2.149625,-0.4659434,-0.339568,0.1501009,-0.8031563
6428565,-2.089356,-0.7055659,2.149625,-0.4659434,-0.339568,0.1501009,-0.8031563
6571422,-2.091752,-0.7052041,2.15279,-0.4632541,-0.3401675,0.1585709,-0.8028306
6714279,-2.091752,-0.7052041,2.15279,-0.4632541,-0.3401675,0.1585709,-0.8028306
6857136,-2.094275,-0.7055169,2.154531,-0.4555832,-0.3502775,0.1816502,-0.797968
6999993,-2.094875,-0.7055061,2.154983,-0.4539695,-0.352205,0.1861712,-0.7969967
7142850,-2.095471,-0.7054762,2.155519,-0.4525966,-0.3536699,0.1902702,-0.7961603
7285707,-2.096514,-0.7058578,2.154521,-0.4552877,-0.3592829,0.1954326,-0.7908446
7428564,-2.097158,-0.7058833,2.15483,-0.4545192,-0.3612538,0.1996234,-0.7893406
7571421,-2.097803,-0.7059087,2.155139,-0.4537397,-0.363216,0.2038094,-0.7878174
7714278,-2.098899,-0.7061732,2.155297,-0.4567359,-0.3557627,0.2041826,-0.7893889
7857135,-2.099593,-0.706213,2.155621,-0.4568718,-0.3556877,0.2068757,-0.7886425
7999992,-2.100273,-0.7062609,2.15592,-0.4567111,-0.3561254,0.2102476,-0.7876456
8142849,-2.100179,-0.7058405,2.156194,-0.4578468,-0.3494387,0.2023354,-0.7920412
8285706,-2.100179,-0.7058405,2.156194,-0.4578468,-0.3494387,0.2023354,-0.7920412
8428563,-2.100179,-0.7058405,2.156194,-0.4578468,-0.3494387,0.2023354,-0.7920412
8571420,-2.100881,-0.7056859,2.155848,-0.4473758,-0.3509219,0.2148788,-0.794063
8714277,-2.10121,-0.7056846,2.155875,-0.4458525,-0.3509375,0.2175837,-0.7941762
8857134,-2.101291,-0.7056782,2.155895,-0.4455276,-0.35092,0.2181917,-0.7941994
8999991,-2.10109,-0.7062269,2.154018,-0.4430554,-0.3536139,0.2226026,-0.7931628
9142848,-2.10127,-0.706262,2.15386,-0.4419083,-0.3538815,0.2247157,-0.7930875
9285705,-2.100946,-0.7066294,2.152626,-0.4439008,-0.3552167,0.2238596,-0.7916187
9428562,-2.100401,-0.7066159,2.152786,-0.4503544,-0.3541285,0.2135905,-0.7912984
9571419,-2.100401,-0.7066159,2.152786,-0.4503544,-0.3541285,0.2135905,-0.7912984
9714276,-2.100084,-0.707996,2.15002,-0.457493,-0.3540313,0.2084742,-0.7886068
9857133,-2.100013,-0.7081331,2.149876,-0.4568275,-0.3545667,0.2094447,-0.7884949
9999990,-2.100013,-0.7081331,2.149876,-0.4568275,-0.3545667,0.2094447,-0.7884949
10142847,-2.099179,-0.7105956,2.145851,-0.4548716,-0.3654724,0.2233129,-0.7808029
10285704,-2.098995,-0.7110739,2.144989,-0.4551179,-0.3675675,0.2251658,-0.779142
10428561,-2.098873,-0.7114208,2.144366,-0.4552487,-0.3688675,0.226512,-0.7780603
10571418,-2.098412,-0.7120106,2.143034,-0.4551554,-0.3765607,0.2288352,-0.7737378
10714275,-2.098226,-0.7124879,2.142219,-0.4553628,-0.3791707,0.2310625,-0.7716764
10857132,-2.098025,-0.7129494,2.141357,-0.4554914,-0.3816999,0.2329581,-0.7697814
10999989,-2.098185,-0.7130804,2.142227,-0.4530474,-0.3832387,0.2370016,-0.7692246
11142846,-2.098033,-0.7134759,2.141645,-0.4527739,-0.3855977,0.239166,-0.7675349
11285703,-2.097882,-0.7138715,2.141063,-0.4524944,-0.3879517,0.2413272,-0.7658352
11428560,-2.098382,-0.7126102,2.144385,-0.4514585,-0.3788007,0.233981,-0.7732711
11571417,-2.098483,-0.712315,2.144631,-0.4522033,-0.3770389,0.2318272,-0.7743449
11714274,-2.098483,-0.712315,2.144631,-0.4522033,-0.3770389,0.2318272,-0.7743449
11857131,-2.09817,-0.7121526,2.149005,-0.4566351,-0.3665455,0.2172566,-0.7809792
11999988,-2.098146,-0.7121571,2.149282,-0.4568767,-0.3659429,0.216415,-0.7813541
12142845,-2.098146,-0.7121571,2.149282,-0.4568767,-0.3659429,0.216415,-0.7813541
12285702,-2.098146,-0.7121571,2.149282,-0.4568767,-0.3659429,0.216415,-0.7813541
12428559,-2.098146,-0.7121571,2.149282,-0.4568767,-0.3659429,0.216415,-0.7813541
12571416,-2.098146,-0.7121571,2.149282,-0.4568767,-0.3659429,0.216415,-0.7813541
12714273,-2.098146,-0.7121571,2.149282,-0.4568767,-0.3659429,0.216415,-0.7813541
12857130,-2.098146,-0.7121571,2.149282,-0.4568767,-0.3659429,0.216415,-0.7813541
12999987,-2.098146,-0.7121571,2.149282,-0.4568767,-0.3659429,0.216415,-0.7813541
13142844,-2.098146,-0.7121571,2.149282,-0.4568767,-0.3659429,0.216415,-0.7813541
13285701,-2.098352,-0.7112099,2.152608,-0.4518919,-0.3604264,0.2146929,-0.7872697
13428558,-2.098352,-0.7112099,2.152608,-0.4518919,-0.3604264,0.2146929,-0.7872697
13571415,-2.102363,-0.7079091,2.169082,-0.4501729,-0.3069261,0.1739635,-0.8202912
13714272,-2.102759,-0.7076011,2.170841,-0.44989,-0.3012525,0.1697219,-0.8234322
13857129,-2.103219,-0.7077206,2.171273,-0.448328,-0.3022401,0.1717485,-0.8235019
13999986,-2.10363,-0.7074723,2.172874,-0.4478349,-0.2974157,0.1683293,-0.8262283
14142843,-2.104032,-0.7072288,2.174445,-0.4473328,-0.2926728,0.1649696,-0.8288674
14285700,-2.103927,-0.7083744,2.171527,-0.4422298,-0.3091933,0.1842166,-0.821521
