timestamp,poseX,poseY,poseZ,oriX,oriY,oriZ,oriW
0,-1.889714,-0.7457888,2.662784,0.2860008,0.3583433,-0.5524564,0.6961218
142857,-1.883425,-0.7434496,2.674954,0.2698399,0.3600684,-0.5541207,0.7003481
285714,-1.877986,-0.7423124,2.684338,0.2597248,0.3631917,-0.551089,0.7049367
428571,-1.871421,-0.7359763,2.700404,0.2350742,0.361076,-0.5615188,0.7064424
571428,-1.865759,-0.7325636,2.711743,0.2205094,0.3626046,-0.5620088,0.7099575
714285,-1.860037,-0.7269927,2.723715,0.2061148,0.3638627,-0.5617061,0.7138676
857142,-1.85452,-0.7221519,2.735158,0.192004,0.3636602,-0.5591533,0.7198842
999999,-1.848982,-0.7178208,2.746538,0.1772269,0.3621917,-0.5557879,0.7269853
1142856,-1.843436,-0.7129585,2.75814,0.1614359,0.3566045,-0.5498507,0.737859
1285713,-1.83823,-0.7083338,2.769328,0.1474465,0.3489482,-0.5421385,0.7500536
1428570,-1.832995,-0.7042613,2.780309,0.1339699,0.3438143,-0.5363688,0.759047
1571427,-1.829239,-0.6993767,2.789685,0.1261984,0.330018,-0.5244074,0.7746993
1714284,-1.826054,-0.6949238,2.798094,0.1212894,0.3194591,-0.5121075,0.7880233
1857141,-1.822335,-0.6908347,2.807029,0.1145666,0.3123996,-0.50206,0.7982586
1999998,-1.822586,-0.6872879,2.810347,0.1258368,0.3048716,-0.4829263,0.8111724
2142855,-1.822824,-0.6848235,2.81339,0.1346125,0.3022711,-0.4679028,0.8194991
2285712,-1.820213,-0.6813879,2.820612,0.1319635,0.2975926,-0.4568673,0.8278264
2428569,-1.823853,-0.6817642,2.818396,0.1472763,0.3033114,-0.4452688,0.8294864
2571426,-1.826425,-0.6827383,2.817664,0.1561308,0.3076079,-0.4408643,0.828637
2714283,-1.826298,-0.6815505,2.821041,0.1586903,0.3071484,-0.4336001,0.8321467
2857140,-1.831964,-0.6873472,2.815264,0.1701487,0.3183112,-0.4428133,0.820758
2999997,-1.834937,-0.6906238,2.813565,0.1747171,0.3250798,-0.4481467,0.8142245
3142854,-1.835353,-0.6903553,2.816003,0.177371,0.3261899,-0.4436981,0.8156418
3285711,-1.843402,-0.7014082,2.805416,0.1794173,0.3469185,-0.476432,0.7876989
3428568,-1.847631,-0.7065222,2.801273,0.1790055,0.3582759,-0.4912565,0.7734743
3571425,-1.849614,-0.7085482,2.800972,0.1809986,0.3634749,-0.4946127,0.7684295
3714282,-1.857807,-0.7185381,2.790354,0.1760486,0.3846777,-0.5234389,0.7396227
3857139,-1.863134,-0.724804,2.784807,0.1743294,0.3980725,-0.5369121,0.7230996
3999996,-1.868747,-0.7315326,2.779086,0.170269,0.4109476,-0.5493008,0.7073891
4142853,-1.873884,-0.7377059,2.774247,0.1673018,0.4219399,-0.558545,0.6942653
4285710,-1.879194,-0.7441204,2.76955,0.1662326,0.4318877,-0.5664123,0.6819215
4428567,-1.885085,-0.7510303,2.764816,0.1670859,0.4402068,-0.5718327,0.6717944
4571424,-1.890896,-0.7574944,2.760674,0.1694973,0.4467381,-0.5757096,0.6635165
4714281,-1.896369,-0.7635039,2.75689,0.1711858,0.4528349,-0.5801773,0.655004
4857138,-1.90316,-0.7702503,2.753861,0.1763662,0.450559,-0.5819235,0.6536487
4999995,-1.909816,-0.7761897,2.751297,0.1832808,0.4445277,-0.5845422,0.6535394
5142852,-1.915596,-0.7818274,2.748124,0.1875466,0.4450662,-0.588635,0.6482679
5285709,-1.923714,-0.7860612,2.746189,0.2081018,0.4268939,-0.5871174,0.655552
5428566,-1.931294,-0.7897314,2.743552,0.2262117,0.4146392,-0.5864747,0.6579894
5571423,-1.937916,-0.794237,2.740538,0.2369945,0.4093601,-0.5884707,0.6557135
5714280,-1.944094,-0.7993253,2.737464,0.2447756,0.4068881,-0.5913091,0.6518288
5857137,-1.9533,-0.7934983,2.734028,0.2746103,0.3718113,-0.5823674,0.6687256
5999994,-1.959857,-0.7954588,2.730838,0.2877963,0.361096,-0.5818576,0.6694959
6142851,-1.96406,-0.7892935,2.728181,0.3166846,0.3286349,-0.5673045,0.6854748
6285708,-1.967427,-0.7863927,2.725815,0.3368764,0.3036101,-0.5541186,0.6980601
6428565,-1.967538,-0.7812487,2.724115,0.3602055,0.2787488,-0.5285475,0.7163719
6571422,-1.966366,-0.7764205,2.72262,0.375756,0.2610548,-0.5025471,0.7335559
6714279,-1.964683,-0.7717663,2.720904,0.3825343,0.2506597,-0.4791796,0.749149
6857136,-1.96148,-0.7668606,2.719256,0.380991,0.2494633,-0.4596733,0.7624397
6999993,-1.957709,-0.7628828,2.717704,0.3732612,0.2565386,-0.4530422,0.7678651
7142850,-1.955868,-0.7600152,2.715765,0.3675504,0.258843,-0.4501213,0.7715554
7285707,-1.952327,-0.7572984,2.713516,0.3485703,0.2729935,-0.4620277,0.7684425
7428564,-1.949882,-0.7553288,2.711055,0.3332793,0.2857156,-0.4739808,0.7633044
7571421,-1.948328,-0.7534271,2.708596,0.3236013,0.2935126,-0.4802135,0.76061
7714278,-1.945922,-0.7519618,2.705712,0.3074916,0.3101447,-0.4966809,0.7500448
7857135,-1.944109,-0.7503087,2.703719,0.2964264,0.3186992,-0.5062492,0.7444958
7999992,-1.942755,-0.7484351,2.701875,0.2876489,0.3231762,-0.5107462,0.7429358
8142849,-1.940724,-0.7462841,2.702084,0.2715515,0.3260428,-0.516429,0.7438124
8285706,-1.938489,-0.7438526,2.703114,0.2600207,0.3227949,-0.5152077,0.7501692
8428563,-1.93631,-0.7412821,2.703853,0.2492549,0.3197216,-0.5133378,0.7563957
8571420,-1.931333,-0.7359171,2.711317,0.2300302,0.3004523,-0.4983644,0.7800305
8714277,-1.927187,-0.7316451,2.717381,0.2187011,0.2841667,-0.4901181,0.7944831
8857134,-1.923929,-0.7281569,2.721265,0.2108248,0.2734115,-0.4852057,0.8033521
8999991,-1.918826,-0.7227603,2.731889,0.2100615,0.2480111,-0.4801048,0.8147786
9142848,-1.914736,-0.7180078,2.738438,0.2002508,0.2343498,-0.4811797,0.8206375
9285705,-1.91112,-0.7139157,2.743284,0.1908558,0.2238235,-0.4799094,0.8265374
9428562,-1.905591,-0.707161,2.752209,0.1836341,0.2091903,-0.4822882,0.8306118
9571419,-1.900589,-0.7007976,2.758917,0.1779255,0.197446,-0.4767768,0.8378792
9714276,-1.896689,-0.6962666,2.763996,0.1695359,0.1867467,-0.4740105,0.8436215
9857133,-1.890465,-0.6867874,2.771197,0.1745361,0.1748993,-0.4522901,0.8569604
